"","Indiv","Trait","Sex","Born","Breed","isCandidate","Age","Class","c0","c1","lb","oc","ub","Ne","oc_using_AshFDWpM","AshFDWpM","oc_using_DWpM","DWpM","loc","Region"
"SL18-NL-2-MG3","SL18-NL-2-MG3",-0.130226595150593,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,2.67420642468563e-07,NA,"Ne60",2.67420642468563e-07,-0.130226595150593,1.78128440253451e-06,-0.0578564218370305,"NL","GOM"
"SL18-SF-13-MG3","SL18-SF-13-MG3",-0.0096167286415591,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,3.50485433974064e-07,NA,"Ne60",3.50485433974064e-07,-0.0096167286415591,4.75292612842069e-08,-0.045321429482555,"SF","GOM"
"SL18-OI-6-MG2","SL18-OI-6-MG2",0.182555605066055,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,6.52297091723705e-07,NA,"Ne60",6.52297091723705e-07,0.182555605066055,1.01610146558534e-07,0.15436936071873,"OI","GOM"
"SL18-OI-15-MG2","SL18-OI-15-MG2",0.139174914528839,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.0091498116390081,NA,"Ne60",0.0091498116390081,0.139174914528839,0.0152188750400074,0.205622787334948,"OI","GOM"
"SL18-SF-17-MG3","SL18-SF-17-MG3",0.0844840370539264,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00273724114936744,NA,"Ne60",0.00273724114936744,0.0844840370539264,4.82998787449364e-06,0.0199364815482643,"SF","GOM"
"SL18-NL-7-MG1","SL18-NL-7-MG1",-0.0691738042284543,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.000216441448665683,NA,"Ne60",0.000216441448665683,-0.0691738042284543,4.53084936895974e-07,-0.110342582443677,"NL","GOM"
"SL18-SF-13-MG1","SL18-SF-13-MG1",0.0513055823318817,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,1.28449991110711e-05,NA,"Ne60",1.28449991110711e-05,0.0513055823318817,0.00399427319801481,0.177450793747645,"SF","GOM"
"SA18-CB-2-MG2","SA18-CB-2-MG2",0.02472511642762,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,1.10365956893292e-05,NA,"Ne60",1.10365956893292e-05,0.02472511642762,5.26437386986067e-07,0.0316457474894772,"CB","GOM"
"SL18-NL-2-MG1","SL18-NL-2-MG1",-0.225214199143681,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,1.14653521243785e-07,NA,"Ne60",1.14653521243785e-07,-0.225214199143681,4.18814229029774e-07,-0.107075981709842,"NL","GOM"
"SL18-CC-1-MG3","SL18-CC-1-MG3",0.00176316096041061,"male",1,"missing",TRUE,1,"missing.Age1.male",0.0023696682464455,0,0,0.00457405002394965,NA,"Ne60",0.00457405002394965,0.00176316096041061,0.010471063283343,0.102124606275186,"CC","GOM"
