Plot #,Cross ID,FemaleGP,Female Location,MaleGP,Male Location,Crosses,Cross Location,Category,Site,F_Keeper,M_Keeper,Painting Density ,Development Ranking,Contamination is Culture,Line ,Position,Block,Harvest Date,Sample Date,Time,Recorder,Photo,Photo Score,Wet Weight of Plot (kg),Length of Plot (m),Wet Weight per meter (kg),% Dry Weight (Subsample),Dry Yield (kg/m) (Subsample),% Dry Weight (Individual),Dry Yield (kg/m) (Individual),Sporphyte Density per Meter,Blade Length (cm),Blade Width Max (cm),Blade Thickness (mm),Stipe Length (cm),Stipe Diameter (mm),% Dry Weight,Stipe Hollow (Y),Stipe Hollow (N),Bullations (Y),Bullations (N),Fouling (Y),Fouling (N),Sorrus Tissue (Y),Sorrus Tissue (N)
S52,SL20_UCONN_S52,SL18-JS-9-FG2,JS,SL18-JS-11-MG3,JS,SL18-JS-9-FG2xSL18-JS-11-MG3,JS x JS,Extra,GOM,,,,,,1,54,5,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S53,SL20_UCONN_S53,SL18-CC-3-FG3,CC,SL18-SF-13-MG1,SF,SL18-CC-3-FG3xSL18-SF-13-MG1,CC x SF,Top160,GOM,,,,,,1,55,5,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S54,SL20_UCONN_S54,SA18-CB-10-FG6,CB,SL18-OI-15-MG2,OI,SA18-CB-10-FG6xSL18-OI-15-MG2,CB x OI,Top160,GOM,,,,,,1,56,6,6/7/21,6/8/21,11:11,,Yes,3,15.4,0.87,17.7,10.89,1.928047695,12.00208362,2.124506756,256.25,231.98,15.2,0.98,16.35,4.85,12,0,0,0,5,5,0,3,2
S55,SL20_UCONN_S55,SL18-NL-6-FG2,NL,SL18-OI-14-MG1,OI,SL18-NL-6-FG2xSL18-OI-14-MG1,NL x OI,Extra,GOM,,,,,,1,57,6,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
Check1,Check1,SL-ME1-FG1,ME1,SL-ME1-MG1,ME1,SL-ME1-FG1xSL-ME1-MG1,ME1 x ME1,Check1,GOM,,,,,,1,58,6,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S56,SL20_UCONN_S56,SL18-OI-11-FG3,OI,SL18-CC-1-MG3,CC,SL18-OI-11-FG3xSL18-CC-1-MG3,OI x CC,TopRep1,GOM,,,,,,1,59,6,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S57,SL20_UCONN_S57,SL18-NL-3-FG2,NL,SL18-SF-13-MG1,SF,SL18-NL-3-FG2xSL18-SF-13-MG1,NL x SF,Top160,GOM,,,,,,1,60,6,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S58,SL20_UCONN_S58,SL18-CC-6-FG2,CC,SL18-CC-11-MG6,CC,SL18-CC-6-FG2xSL18-CC-11-MG6,CC x CC,Extra,GOM,,,,,,1,61,6,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S59,SL20_UCONN_S59,SL18-OI-6-FG2,OI,SL18-OI-11-MG3,OI,SL18-OI-6-FG2xSL18-OI-11-MG3,OI x OI,Spray_replace,GOM,,,,,,1,62,6,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S60,SL20_UCONN_S60,SL18-CC-8-FG1,CC,SL18-JS-9-MG3,JS,SL18-CC-8-FG1xSL18-JS-9-MG3,CC x JS,Low10,GOM,,,,,,1,63,6,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S61,SL20_UCONN_S61,SL18-NL-10-FG3,NL,SL18-OI-11-MG3,OI,SL18-NL-10-FG3xSL18-OI-11-MG3,NL x OI,Top160,GOM,,,,,,1,64,6,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S62,SL20_UCONN_S62,SL18-JS-6-FG2,JS,SL18-NC-2-MG3,NC,SL18-JS-6-FG2xSL18-NC-2-MG3,JS x NC,Top160,GOM,,,,,,1,65,6,6/7/21,6/8/21,11:21,,Yes,2,4.42,0.885,4.99,11.24,0.561221886,10.49884799,0.524349245,93.75,66.36,11.62,0.88,13.36,4.9,10.5,0,0,0,5,3,2,1,4
S63,SL20_UCONN_S63,SL18-CC-3-FG2,CC,SL18-OD-6-MG1,OD,SL18-CC-3-FG2xSL18-OD-6-MG1,CC x OD,TopRep2,GOM,,,,,,1,66,6,6/7/21,6/8/21,11:24,,Yes,3,7.99,0.69,11.58,11.16,1.292418127,9.57938088,1.10926454,293.75,176.2,13.98,1.21,15.8,5.38,9.58,0,0,0,5,5,0,0,5
S64,SL20_UCONN_S64,SL18-JS-9-FG2,JS,SL18-OI-18-MG3,OI,SL18-JS-9-FG2xSL18-OI-18-MG3,JS x OI,Extra,GOM,,,,,,1,67,7,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S65,SL20_UCONN_S65,SL18-OD-5-FG1,OD,SL18-NL-6-MG1,NL,SL18-OD-5-FG1xSL18-NL-6-MG1,OD x NL,Diversity,GOM,,,,,,1,68,7,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
S66,SL20_UCONN_S66,SL18-SF-17-FG2,SF,SA18-CB-1-MG13,CB,SL18-SF-17-FG2xSA18-CB-1-MG13,SF x CB,TopRep1,GOM,,,,,,1,69,7,6/7/21,6/8/21,,,,,,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
