"","BLUE_DwPM_2Yrs","CrossName","BLUE_DwPM_2019","BLUE_DwPM_2020","BLUE_DwPM_2019_2","BLUE_DwPM_2020_2","BV_DWpM"
"SL18-OI-17-FG2xSL18-SF-17-MG2",-0.334397708892697,"SL18-OI-17-FG2xSL18-SF-17-MG2",-0.228573573573572,NA,-0.228573573573568,NA,0.00737857796787084
"SL18-OI-17-FG4xSL18-CC-7-MG1",0.296569282184846,"SL18-OI-17-FG4xSL18-CC-7-MG1",NA,-0.782705912499999,NA,-0.782705912499999,0.131463611032665
"SL18-OI-17-FG4xSL18-JS-6-MG2",0.712121070036049,"SL18-OI-17-FG4xSL18-JS-6-MG2",NA,-0.195621648499997,NA,-0.1956216485,0.203161970762721
"SL18-OI-18-FG1xSL18-OI-9-MG3",-0.126963796970442,"SL18-OI-18-FG1xSL18-OI-9-MG3",-0.107237237237237,NA,-0.107237237237232,NA,0.0219839293314083
"SL18-OI-18-FG2xSA18-CB-7-MG1",-0.00500654856159711,"SL18-OI-18-FG2xSA18-CB-7-MG1",0.0146246246246256,NA,0.0146246246246301,NA,0.0625844756746973
"SL18-OI-18-FG2xSL18-LD-10-MG1",-0.19870523882005,"SL18-OI-18-FG2xSL18-LD-10-MG1",-0.146906906906906,NA,-0.146906906906902,NA,-0.010625295576536
"SL18-OI-18-FG2xSL18-LD-2-MG3",-0.369568824871161,"SL18-OI-18-FG2xSL18-LD-2-MG3",-0.366336336336336,NA,-0.366336336336331,NA,-0.0319517905430208
"SL18-OI-18-FG2xSL18-LD-9-MG1",-0.298129123911242,"SL18-OI-18-FG2xSL18-LD-9-MG1",-0.243933933933933,NA,-0.243933933933928,NA,-0.0181059102990362
"SL18-OI-18-FG2xSL18-NL-2-MG2",-0.235014652878588,"SL18-OI-18-FG2xSL18-NL-2-MG2",-0.123648648648648,NA,-0.123648648648643,NA,-0.0555777893572611
"SL18-OI-18-FG3xSL18-LL-9-MG1",-0.272114049518573,"SL18-OI-18-FG3xSL18-LL-9-MG1",-0.189819819819819,NA,-0.189819819819815,NA,-0.0723105333879724
"SL18-OI-18-FG3xSL18-OI-7-MG1",-0.307541147672676,"SL18-OI-18-FG3xSL18-OI-7-MG1",-0.332312312312312,NA,-0.332312312312307,NA,0.0169544633027814
"SL18-OI-18-FG5xSA18-CB-4-MG3",-0.280565827382324,"SL18-OI-18-FG5xSA18-CB-4-MG3",-0.110270270270269,NA,-0.110270270270265,NA,0.00229545297168439
"SL18-OI-18-FG5xSL18-LD-2-MG1",-0.0987171001498096,"SL18-OI-18-FG5xSL18-LD-2-MG1",0.0344444444444456,NA,0.0344444444444499,NA,-0.018821302102558
"SL18-OI-18-FG5xSL18-SF-15-MG2",-0.00929321505861765,"SL18-OI-18-FG5xSL18-SF-15-MG2",0.121471471471473,NA,0.121471471471477,NA,0.0540102437038682
"SL18-OI-18-FG6xSA18-CB-1-MG2",0.0224482267909925,"SL18-OI-18-FG6xSA18-CB-1-MG2",0.121141141141142,NA,0.121141141141147,NA,0.0187869242255751
"SL18-OI-18-FG6xSL18-NL-6-MG1",-0.353279376459376,"SL18-OI-18-FG6xSL18-NL-6-MG1",-0.236516516516516,NA,-0.236516516516511,NA,-0.02231824186044
"SL18-OI-2-FG2xSL18-LD-1-MG2",-0.305254665165113,"SL18-OI-2-FG2xSL18-LD-1-MG2",-0.317537537537536,NA,-0.317537537537532,NA,-0.0668886563397203
"SL18-OI-2-FG3xSL18-NL-9-MG1",-0.369568824871162,"SL18-OI-2-FG3xSL18-NL-9-MG1",-0.366336336336336,NA,-0.366336336336331,NA,-0.09534141028604
"SL18-OI-2-FG3xSL18-SF-17-MG1",-0.324975059594932,"SL18-OI-2-FG3xSL18-SF-17-MG1",-0.263648648648648,NA,-0.263648648648643,NA,-0.00564148962092993
"SL18-OI-4-FG2xSA18-CB-7-MG2",1.69954432367323,"SL18-OI-4-FG2xSA18-CB-7-MG2",NA,0.657251852750002,NA,0.657251852749998,0.233869889666656
"SL18-OI-4-FG2xSL18-JS-19-MG2",0.077680529919887,"SL18-OI-4-FG2xSL18-JS-19-MG2",NA,-0.932260618000001,NA,-0.932260617999998,0.0108920996737704
"SL18-OI-4-FG2xSL18-NC-15-MG1",0.839200453478023,"SL18-OI-4-FG2xSL18-NC-15-MG1",NA,-0.210631027,NA,-0.210631027000002,0.0964964773029427
"SL18-OI-5-FG5xSA18-CB-7-MG3",-0.0267042073856983,"SL18-OI-5-FG5xSA18-CB-7-MG3",NA,-0.687191713499996,NA,-0.687191713499999,0.0341717715141149
"SL18-OI-6-FG1xSA18-CB-2-MG1",-0.259400500441521,"SL18-OI-6-FG1xSA18-CB-2-MG1",-0.123573573573572,NA,-0.123573573573568,NA,0.00777534115087493
"SL18-OI-6-FG1xSA18-CB-4-MG1",-0.139400500441523,"SL18-OI-6-FG1xSA18-CB-4-MG1",-0.00357357357357244,NA,-0.00357357357356809,NA,-0.0223735175214939
"SL18-OI-6-FG1xSL18-LD-13-MG2",-0.251892077528942,"SL18-OI-6-FG1xSL18-LD-13-MG2",-0.175090090090089,NA,-0.175090090090085,NA,-0.0249145635385422
"SL18-OI-6-FG1xSL18-LD-2-MG1",-0.337541147672676,"SL18-OI-6-FG1xSL18-LD-2-MG1",-0.362312312312312,NA,-0.362312312312307,NA,-0.0177427996441299
"SL18-OI-6-FG1xSL18-LD-5-MG1",-0.359293215058617,"SL18-OI-6-FG1xSL18-LD-5-MG1",-0.228528528528527,NA,-0.228528528528523,NA,-0.0454461069826021
"SL18-OI-6-FG1xSL18-NL-9-MG1",-0.304975059594932,"SL18-OI-6-FG1xSL18-NL-9-MG1",-0.243648648648648,NA,-0.243648648648643,NA,-0.0644974175324064
"SL18-OI-6-FG1xSL18-SF-15-MG1",-0.205014652878588,"SL18-OI-6-FG1xSL18-SF-15-MG1",-0.0936486486486474,NA,-0.0936486486486432,NA,0.0534390455216905
"SL18-OI-6-FG1xSL18-SF-19-MG1",-0.374975059594933,"SL18-OI-6-FG1xSL18-SF-19-MG1",-0.313648648648648,NA,-0.313648648648643,NA,-0.0349264833767359
"SL18-OI-6-FG2xSA18-CB-4-MG2",1.9612136313197,"SL18-OI-6-FG2xSA18-CB-4-MG2",NA,0.891240527,NA,0.891240527,0.270768308225454
"SL18-OI-6-FG2xSL18-LD-2-MG2",1.05787442759871,"SL18-OI-6-FG2xSL18-LD-2-MG2",NA,0.0589457042500025,NA,0.0589457042499997,0.228123644455735
"SL18-OI-6-FG3xSL18-CC-11-MG5",0.793086789487111,"SL18-OI-6-FG3xSL18-CC-11-MG5",NA,-0.189383369249997,NA,-0.189383369250002,0.232674481756544
"SL18-OI-6-FG3xSL18-JS-6-MG1",0.426040101833779,"SL18-OI-6-FG3xSL18-JS-6-MG1",NA,-0.856740789000001,NA,-0.856740789000001,0.180618160414547
"SL18-OI-7-FG3xSA18-CB-2-MG3",-0.288965216753328,"SL18-OI-7-FG3xSA18-CB-2-MG3",-0.187717717717717,NA,-0.187717717717713,NA,0.0255362522755842
"SL18-OI-9-FG1xSL18-LL-9-MG2",-0.305582663470401,"SL18-OI-9-FG1xSL18-LL-9-MG2",-0.288348348348347,NA,-0.288348348348343,NA,-0.0450927918783445
"SL18-OI-9-FG4xSA18-CB-1-MG12",0.786473094047663,"SL18-OI-9-FG4xSA18-CB-1-MG12",NA,-0.332770882000001,NA,-0.332770882,0.00505749561391403
"SL18-SF-13-FG1xSA18-CB-7-MG1",0.0636005022919018,"SL18-SF-13-FG1xSA18-CB-7-MG1",NA,-0.926408666,NA,-0.926408665999998,0.05134013489974
"SL18-SF-13-FG1xSL18-LL-9-MG3",-0.210565827382323,"SL18-SF-13-FG1xSL18-LL-9-MG3",-0.0402702702702694,NA,-0.0402702702702646,NA,-0.0348983001674316
"SL18-SF-13-FG2xSA18-CB-2-MG3",0.956600667761675,"SL18-SF-13-FG2xSA18-CB-2-MG3",NA,-0.255461198500001,NA,-0.255461198500002,0.162337800155165
"SL18-SF-13-FG2xSL18-JS-11-MG3",0.620518724751483,"SL18-SF-13-FG2xSL18-JS-11-MG3",NA,NA,NA,NA,0.0854686267128602
"SL18-SF-13-FG2xSL18-JS-9-MG2",0.407943730321982,"SL18-SF-13-FG2xSL18-JS-9-MG2",NA,-0.9014581725,NA,-0.901458172500003,0.0236272040582473
