"","AshFDwPM","AshOnly","DWpM","WWP","PDW","BD"
"SL18-OD-5-MG2",-0.0194686442268853,-0.111722969888783,-0.03787322352642,-0.115755069038062,-0.0570384259294763,-2.93014354369307
"SL18-OD-10-MG3",-0.00871430094601195,0.113930004576839,-0.0143057993424803,-0.0431552335124234,0.0158543043361101,-7.07068085728025
"SL18-FW-14-FG2",-0.0107407195643182,-0.367142478038036,0.0178359910907211,0.0344583328830904,0.0119116735630174,1.75700294248462
"SL18-FW-14-FG11",-0.0104872773894367,-0.416512272678353,0.0225798127740322,0.0594208175713628,0.0110581976718778,6.79212406862532
"SL18-FW-14-FG12",-0.0113221529582517,-0.440770741900843,0.0191851344663618,0.0458082899942479,0.0324170075719519,4.18717029965931
"SL18-FI-1-FG3",0.00134437179945213,-0.273754242324515,0.0163131470203016,0.0723753142494265,-0.041385464655668,14.3609640075836
"SL18-FI-1-FG13",-0.000431342854847378,-0.297315925429717,0.0175372175678014,0.0656207193401134,-0.016231145808985,11.7424206067684
"SL18-PI-1-FG1",-0.017234019933,-0.342663878489029,0.00721161602181481,0.0283140314977418,-0.0135234304221168,6.71719950527936
"SL18-PI-1-FG3",-0.0095072167863334,-0.305030550699232,0.00593108734584285,0.0331373102495677,-0.0259189343140823,8.70895056635957
"SL18-JS-6-FG3",0.031217737452177,0.199457744749604,0.0525474264072102,0.0895041481373668,0.256125943619605,-9.29596045479405
"SL18-JS-9-FG2",-0.0497406403809544,0.213024555834098,-0.0897192179252916,-0.254017868426292,-0.0762881960877757,-15.423090765593
"SL18-NL-2-FG2",-0.0427746062813489,0.151102289922108,-0.0505705227751004,-0.148408971644975,-0.0692065066833002,-10.8483940868308
"SL18-NL-6-FG2",-0.0245923777126968,0.153077829890313,-0.0156388124316395,-0.0119307157355675,-0.0893318197736801,26.1717077312042
"SL18-NL-7-FG3",-0.0338274934343638,0.47660671683213,-0.0561126054344062,-0.239406740327004,0.0251270948212497,-23.6269543747934
"SL18-TI-4-FG3",-0.0177526660398239,-0.329597641558498,0.00520484742210006,0.0281992714570131,-0.0344053095509362,3.63625789248098
"SL18-BL-18-FG10",-0.0204873064838058,-0.399942245002139,-0.0000579039136156499,0.0201944450299556,-0.0151358361770639,3.13932067701475
"SL18-FW-21-MG1",-0.0143193794807421,-0.22982345389784,0.0143799003037933,0.0539900216760138,-0.00988299835378428,5.9419189536813
"SL18-FI-2-FG11",-0.00606168004803853,-0.341872188878532,0.0147342484768558,0.0543449340053581,-0.0290818876505673,6.56792145619362
"SL18-FI-2-FG12",-0.0213622944986534,-0.452283747398819,0.00942888713873981,0.0230123841530565,0.0116195891740694,0.826295133422535
"SL18-LD-3-FG3",-0.00314941489050619,0.0671451652241513,-0.0206745479236087,-0.0747224338618342,0.0334460992986158,-5.90759468461191
"SL18-CC-7-MG2",0.0261087065379645,0.162121064553503,0.0439837325674336,0.153916796486613,-0.0299505090585199,1.53497768567258
"SL18-FI-1-MG2",-0.0100257896019187,-0.55946513581763,0.0253775812013398,0.0756655508776485,0.00859619264528782,9.55622379851931
