UCONNCrossID,CrossNum.,Crosses,FG,MG,Category,"CrossingDate(Oct.6,7,8)",Crosser,CrossStatus,Notes,Check 11/2-5,Healthheck 11/2-5,Check 10/26 (1-192) 10/27(194- ),Health 10/26,Check 10/19-20,Health 10/19-20,Painting Date,SP number per 1 ml estimation on paint day,,Media Change 1,Media Change 2,Media Change 3?,Post-paint  development,Post-paint  density,Comments
GOM325,325,SL18-NL-3-FG1xSL18-OI-9-MG3,SL18-NL-3-FG1,SL18-OI-9-MG3,Extra,7,Scott,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,MD,GREEN
GOM326,326,SL18-NL-3-FG1xSL18-OI-14-MG1,SL18-NL-3-FG1,SL18-OI-14-MG1,Extra,7,Scott,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
GOM327,327,SL18-NL-3-FG1xSL18-OI-18-MG1,SL18-NL-3-FG1,SL18-OI-18-MG1,Extra,7,Scott,Y,,GP,,GP,,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,LD,
GOM329,329,SL18-NL-6-FG2xSL18-OI-9-MG3,SL18-NL-6-FG2,SL18-OI-9-MG3,Extra,7,Scott,Y,,SP_100,,EmbrSP,,GP,,11/2/2020,11,,11/16/2020,11/30/2020,12/14/2020,GP,MD,GREEN
GOM330,330,SL18-NL-6-FG2xSL18-OI-14-MG1,SL18-NL-6-FG2,SL18-OI-14-MG1,Extra,7,Scott,Y,,GP,,GP,not healthy,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,MD,GREEN
GOM331,331,SL18-NL-6-FG2xSL18-OI-18-MG1,SL18-NL-6-FG2,SL18-OI-18-MG1,Extra,8,Michael,Y,,Painted,,SP_100,,GP,,10/29/2020,38,,11/12/2020,11/26/2020,12/10/2020,GP,MD,
GOM332,332,SL18-NL-6-FG3xSL18-OI-9-MG3,SL18-NL-6-FG3,SL18-OI-9-MG3,Extra,7,Scott,Y,,Throw away,"not healthy, green",GP,"not healthy, green",GP,,NA,x,,#VALUE!,#VALUE!,#VALUE!,,,
GOM333,333,SL18-NL-6-FG3xSL18-OI-14-MG1,SL18-NL-6-FG3,SL18-OI-14-MG1,Extra,7,Scott,Y,,GP,not healthy,GP,not healthy,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,MD,
GOM334,334,SL18-OI-16-FG3xSL18-LD-1-MG3,SL18-OI-16-FG3,SL18-LD-1-MG3,Extra,7,Scott,Y,,GP,not healthy,GP,not healthy,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,HD,
GOM335,335,SL18-OI-16-FG3xSL18-CC-11-MG6,SL18-OI-16-FG3,SL18-CC-11-MG6,Extra,7,Scott,Y,,GP,not healthy,GP,not healthy,GP,,11/5/2020,0,,11/19/2020,12/3/2020,12/17/2020,GP,HD,
