Indiv,Sex,AshFDWpM,oc_using_AshFDWpM,Rank_first_AshFDWpM_then_oc,DWpM,oc_using_DWpM,Rank_DWpM_then_oc,AshOnly,WWP,PDW
SA18-CB-5-FG1,female,-0.041221708,1.43E-06,,-0.000344131,8.39E-06,,-0.201105022,-0.021827573,0.028857721
SL18-OI-9-FG2,female,-0.016903156,1.58E-05,,-0.000602561,5.78E-07,,-0.636468542,-0.02958842,0.103126669
SL18-OI-18-FG1,female,0.020512223,0.003024241,,-0.003490054,0.003531589,,-0.388663282,0.026778789,0.181430982
SL18-SF-17-FG3,female,0.04584645,1.66E-07,,-0.004899993,4.83E-08,,-0.904156612,0.059193152,-0.095594921
SL18-OI-17-FG1,female,0.103444388,0.002798597,29,-0.011165867,1.72E-07,,-0.054209451,-0.023931093,-0.075817264
SL18-CC-6-FG2,female,-0.025143176,0.001000231,,-0.014874409,0.000580543,,0.283740714,0.186221428,-0.237838668
SL18-LD-9-FG4,female,-0.028424256,2.54E-06,,-0.017178988,0.002587953,,-0.434726645,-0.015022859,0.098687599
SL18-LD-2-FG5,female,0.016116818,4.94E-05,,-0.018583933,5.48E-05,,0.027338431,-0.213014215,0.465512184
SL18-NC-15-FG2,female,-0.12192708,3.65E-07,,-0.01879272,1.74E-05,,0.455898972,0.008336174,-0.103732123
SL18-NC-15-FG1,female,-0.12192708,3.65E-07,,-0.01879272,1.74E-05,,0.455898972,0.008336174,-0.103732123
SL18-NL-6-FG2,female,-0.096852983,0.002618216,,-0.019063173,0.00231454,,0.170658986,0.036912752,-0.200115311
SL18-OI-9-FG1,female,-0.027914109,0.000347767,,-0.020042724,2.08E-06,,-0.79568476,-0.097844689,0.06256161
SL18-OI-18-FG3,female,0.021699137,0.000783082,,-0.022940704,1.89E-05,,-0.582826105,-0.135000078,0.28669172
SL18-OI-18-FG2,female,0.022929385,0.001590794,,-0.023502757,0.00090318,,-0.795034325,-0.138833034,0.265236028
SL18-OI-18-FG6,female,-0.001720363,9.67E-07,,-0.024765293,1.55E-06,,-1.004016723,-0.105501541,0.237220509
SL18-UCONN-S57-FG2,female,-0.027712093,2.52E-07,,-0.025385382,8.04E-08,,0.471205729,0.051622565,-0.287768986
