"","Indiv","Trait","Sex","Born","Breed","isCandidate","Age","Class","c0","c1","lb","oc","ub","Ne","oc_using_AshFDWpM","AshFDWpM","oc_using_DWpM","DWpM"
"SA18-CB-7-MG1","SA18-CB-7-MG1",0.194653253437547,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,3.52370819683527e-07,NA,"Ne60",3.52370819683527e-07,0.194653253437547,5.46975611032349e-08,0.148671750984592
"SL18-SF-19-MG1","SL18-SF-19-MG1",-0.108824268033806,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,1.08119239828056e-07,NA,"Ne60",1.08119239828056e-07,-0.108824268033806,7.10945001731843e-08,-0.0748851114370393
"SL18-SF-15-MG2","SL18-SF-15-MG2",0.076356059946114,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,0.00554076964410901,NA,"Ne60",0.00554076964410901,0.076356059946114,0.00427144735644283,0.105145495209736
"SA18-CB-2-MG3","SA18-CB-2-MG3",0.0131119081316974,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,3.39335833803302e-07,NA,"Ne60",3.39335833803302e-07,0.0131119081316974,4.53903837954927e-08,0.0455938783286214
"SL18-NL-5-MG1","SL18-NL-5-MG1",-0.0480756146582317,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,0.00200931039606076,NA,"Ne60",0.00200931039606076,-0.0480756146582317,2.86777932936851e-07,-0.0851796353064997
"SL18-SF-15-MG1","SL18-SF-15-MG1",0.0654640403980645,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,0.00374018069573391,NA,"Ne60",0.00374018069573391,0.0654640403980645,0.00523454933254473,0.101846256890724
"SA18-CB-4-MG3","SA18-CB-4-MG3",-0.00524711480827309,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,1.10197927818014e-07,NA,"Ne60",1.10197927818014e-07,-0.00524711480827309,3.17742025752066e-08,0.00171600154429889
"SA18-CB-5-MG3","SA18-CB-5-MG3",-0.146698808290949,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,6.4648195368222e-08,NA,"Ne60",6.4648195368222e-08,-0.146698808290949,2.18444214495329e-08,-0.0749032367577935
"SL18-LD-13-MG2","SL18-LD-13-MG2",-0.155337024659626,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,3.36953518455699e-07,NA,"Ne60",3.36953518455699e-07,-0.155337024659626,0.00326842051306002,-0.054861196260792
"SL18-LD-3-MG2","SL18-LD-3-MG2",-0.0361068971191311,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,0.00182497174437338,NA,"Ne60",0.00182497174437338,-0.0361068971191311,0.00439641545534074,-0.0283106777271573
"SL18-NL-6-MG1","SL18-NL-6-MG1",-0.0759636742151162,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,1.31747192411016e-06,NA,"Ne60",1.31747192411016e-06,-0.0759636742151162,1.58595976295772e-07,-0.0198713374604129
"SL18-SF-17-MG2","SL18-SF-17-MG2",0.106298538019357,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,0.00188878573908488,NA,"Ne60",0.00188878573908488,0.106298538019357,0.00212215671193498,0.0697952821540363
"SL18-OI-9-MG3","SL18-OI-9-MG3",0.0174665326658855,"male",1,"missing",TRUE,1,"missing.Age1.male",0.00182481751824818,0,0,0.00106223276383956,NA,"Ne60",0.00106223276383956,0.0174665326658855,0.00290132292480581,0.047457819058398
